seqnames,start,end,width,strand,V4,V5,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,state
NC_000067.7,87201521,87201785,265,*,CBD2vsMODEL2_cond2_13,3.79092,"Intron (NM_028889.3/Efhd1, intron 1 of 3)",1,87192075,87238563,46489,1,Efhd1,NR_151447.1,9446,down
NC_000067.7,88997780,88998077,298,*,CBD2vsMODEL2_cond2_14,4.55634,Promoter (<=1kb),1,88998061,89082790,84730,1,Sh3bp4,XM_030243890.2,0,down
NC_000067.7,90950832,90951134,303,*,CBD2vsMODEL2_cond2_15,4.07469,"Intron (XM_006529209.4/Lrrfip1, intron 1 of 25)",1,90926449,91056666,130218,1,Lrrfip1,NM_001111312.1,24383,down
NC_000067.7,125488312,125488693,382,*,CBD2vsMODEL2_cond2_16,3.95747,Promoter (<=1kb),1,125488332,125523571,35240,1,Slc35f5,NM_001356294.1,0,down
NC_000067.7,126250509,126250861,353,*,CBD2vsMODEL2_cond2_17,3.94783,"Intron (NM_172484.3/Nckap5, intron 3 of 14)",1,125841375,126383531,542157,2,Nckap5,XM_030252628.2,132670,down
NC_000067.7,131637695,131638272,578,*,CBD2vsMODEL2_cond2_18,9.82862,"Intron (XM_036163929.1/Rab7b, intron 6 of 6)",1,131624101,131643175,19075,1,Rab7b,XM_006529430.3,13594,down
NC_000067.7,151219684,151220265,582,*,CBD2vsMODEL2_cond2_19,4.06441,Promoter (<=1kb),1,151220237,151240195,19959,1,Ivns1abp,NM_001359262.1,0,down
NC_000067.7,151220391,151220690,300,*,CBD2vsMODEL2_cond2_20,4.40785,Promoter (<=1kb),1,151220415,151240169,19755,1,Ivns1abp,XM_030243144.1,0,down
NC_000067.7,152967516,152967841,326,*,CBD2vsMODEL2_cond2_21,7.17845,"Intron (XR_387163.4/Nmnat2, intron 7 of 11)",1,152960123,152995012,34890,1,Nmnat2,NM_001418103.1,7393,down
NC_000067.7,153941228,153941730,503,*,CBD2vsMODEL2_cond2_22,8.3154,Promoter (1-2kb),1,153939444,153988655,49212,1,Gm46165,XR_001779496.2,1784,down
NC_000067.7,161128737,161129366,630,*,CBD2vsMODEL2_cond2_23,17.1665,Distal Intergenic,1,161067682,161078780,11099,2,Prdx6,NR_130150.1,-49957,down
NC_000067.7,162620177,162620472,296,*,CBD2vsMODEL2_cond2_24,6.62722,Distal Intergenic,1,162621452,162640118,18667,2,Fmo4,NM_144878.1,19646,down
NC_000067.7,165288289,165288686,398,*,CBD2vsMODEL2_cond2_25,5.24823,Promoter (<=1kb),1,165157069,165288475,131407,2,Dcaf6,XM_030243204.1,0,down
NC_000067.7,169312899,169313167,269,*,CBD2vsMODEL2_cond2_26,20.2072,Promoter (<=1kb),1,169300082,169313036,12955,2,Gm53643,XR_004936681.1,0,down
NC_000067.7,172116718,172117045,328,*,CBD2vsMODEL2_cond2_27,5.99842,Promoter (<=1kb),1,172115459,172116861,1403,2,Gm39704,XR_865733.1,0,down
NC_000067.7,172317927,172318265,339,*,CBD2vsMODEL2_cond2_28,3.77564,"Exon (XM_036154500.1/Igsf9, exon 5 of 21)",1,172309884,172326444,16561,1,Igsf9,NM_033608.3,8043,down
NC_000067.7,176842357,176842647,291,*,CBD2vsMODEL2_cond2_29,5.0595,"Intron (NM_029756.3/Sdccag8, intron 17 of 17)",1,176735589,176768568,32980,2,Gm15423,XR_003948787.1,-73789,down
NC_000067.7,178196682,178196983,302,*,CBD2vsMODEL2_cond2_30,5.06998,Distal Intergenic,1,178218384,178218489,106,1,Gm24919,XR_004936720.1,-21401,down
NC_000067.7,178646160,178646496,337,*,CBD2vsMODEL2_cond2_31,5.29415,"Intron (NM_001161665.1/Kif26b, intron 4 of 14)",1,178622531,178766765,144235,1,Kif26b,XM_006496865.4,23629,down
NC_000067.7,183078885,183079341,457,*,CBD2vsMODEL2_cond2_32,5.91767,Promoter (<=1kb),1,183057916,183078839,20924,2,Brox,XR_389720.5,-46,down
NC_000067.7,185051747,185052006,260,*,CBD2vsMODEL2_cond2_33,3.87922,"Intron (NM_198653.3/Iars2, intron 9 of 22)",1,185045778,185045889,112,1,Mir215,NR_029908.1,5969,down
NC_000067.7,186409251,186409674,424,*,CBD2vsMODEL2_cond2_34,16.2373,Promoter (<=1kb),1,186408939,186409073,135,1,Gm26169,XR_004936755.1,312,down
NC_000067.7,186462259,186464543,2285,*,CBD2vsMODEL2_cond2_35,10.1089,"Intron (NM_026041.2/Rrp15, intron 4 of 4)",1,186481020,186489266,8247,1,A430105J06Rik,XR_003948551.1,-16477,down
NC_000067.7,186464805,186465264,460,*,CBD2vsMODEL2_cond2_36,5.33191,"Intron (NM_026041.2/Rrp15, intron 4 of 4)",1,186481020,186489266,8247,1,A430105J06Rik,XR_003948551.1,-15756,down
NC_000067.7,187085305,187085624,320,*,CBD2vsMODEL2_cond2_37,4.97858,"Intron (XM_006497199.5/Gpatch2, intron 8 of 8)",1,187005574,187017819,12246,1,Gm51737,XR_003948552.2,79731,down
NC_000067.7,187086153,187088065,1913,*,CBD2vsMODEL2_cond2_38,6.01695,"Intron (XM_006497199.5/Gpatch2, intron 8 of 8)",1,187005574,187017819,12246,1,Gm51737,XR_003948552.2,80579,down
NC_000067.7,190915573,190915905,333,*,CBD2vsMODEL2_cond2_39,4.34631,Promoter (<=1kb),1,190902493,190915530,13038,2,Atf3,NM_007498.3,-43,down
NC_000068.8,3284862,3285326,465,*,CBD2vsMODEL2_cond2_40,5.39892,Promoter (<=1kb),2,3285249,3329914,44666,1,Nmt2,NM_001290368.1,0,down
NC_000068.8,4485106,4485416,311,*,CBD2vsMODEL2_cond2_41,4.43583,"Intron (XM_006497439.4/Frmd4a, intron 4 of 23)",2,4473709,4518477,44769,2,Gm39751,XR_004940825.1,33061,down
NC_000068.8,5619912,5620248,337,*,CBD2vsMODEL2_cond2_42,6.0391,"Intron (NM_001290376.1/Camk1d, intron 1 of 10)",2,5299056,5606259,307204,2,Camk1d,XM_011238973.4,-13653,down
NC_000068.8,5641715,5642160,446,*,CBD2vsMODEL2_cond2_43,9.31706,"Intron (NM_001290376.1/Camk1d, intron 1 of 10)",2,5299056,5606259,307204,2,Camk1d,XM_011238973.4,-35456,down
NC_000068.8,9469600,9469901,302,*,CBD2vsMODEL2_cond2_44,4.29234,"Intron (NR_168281.1/Gm13219, intron 2 of 2)",2,9357071,9472125,115055,1,Gm13219,NR_168281.1,112529,down
NC_000068.8,9519083,9519522,440,*,CBD2vsMODEL2_cond2_45,7.2911,Distal Intergenic,2,9596029,9597749,1721,2,Dreg1,XR_001783609.1,78227,down
NC_000068.8,10558891,10559162,272,*,CBD2vsMODEL2_cond2_46,7.71367,"Intron (XM_006497491.4/Sfmbt2, intron 16 of 24)",2,10522966,10523090,125,1,Mir669h,NR_035418.1,35925,down
NC_000068.8,11434240,11434524,285,*,CBD2vsMODEL2_cond2_47,4.6732,"Intron (XR_865971.1/Gm31990, intron 2 of 2)",2,11427338,11452258,24921,2,Gm31990,XR_865971.1,17734,down
NC_000068.8,21305107,21305478,372,*,CBD2vsMODEL2_cond2_48,13.7853,Distal Intergenic,2,21272532,21295615,23084,1,Gm54105,XR_004940843.1,32575,down
NC_000068.8,21925722,21926065,344,*,CBD2vsMODEL2_cond2_49,19.1909,"Intron (XR_866004.1/Gm39767, intron 3 of 5)",2,21883644,21968978,85335,2,Gm39767,XR_866004.1,42913,down
NC_000068.8,24076329,24076589,261,*,CBD2vsMODEL2_cond2_50,16.1359,Promoter (<=1kb),2,24076488,24083579,7092,1,Il36g,NM_153511.3,0,down
NC_000068.8,26335290,26335919,630,*,CBD2vsMODEL2_cond2_51,4.51188,Promoter (<=1kb),2,26299443,26335303,35861,2,Sec16a,XM_006497911.4,0,down
NC_000068.8,28414253,28414519,267,*,CBD2vsMODEL2_cond2_52,9.06498,"Intron (XM_006497798.5/Ralgds, intron 1 of 17)",2,28423447,28443085,19639,1,Ralgds,XM_006497797.5,-8928,down
NC_000068.8,28493060,28493396,337,*,CBD2vsMODEL2_cond2_53,4.69736,Distal Intergenic,2,28485139,28485242,104,1,Gm22675,XR_004941151.1,7921,down
NC_000068.8,30871978,30872591,614,*,CBD2vsMODEL2_cond2_54,4.99166,Promoter (<=1kb),2,30862845,30872225,9381,2,BC005624,XM_006497943.5,0,down
NC_000068.8,32605049,32605348,300,*,CBD2vsMODEL2_cond2_55,7.03582,Promoter (2-3kb),2,32602912,32602984,73,2,Mir3960,NR_039536.1,-2065,down
NC_000068.8,59579672,59579961,290,*,CBD2vsMODEL2_cond2_56,11.7141,"Intron (XM_017319203.3/Tanc1, intron 4 of 26)",2,59609856,59676061,66206,1,Tanc1,XM_006500039.3,-29895,down
NC_000068.8,66920169,66920701,533,*,CBD2vsMODEL2_cond2_57,4.13509,Distal Intergenic,2,67004178,67016556,12379,1,Gm1322,NM_001033477.3,-83477,down
NC_000068.8,73722631,73723153,523,*,CBD2vsMODEL2_cond2_58,4.27067,Promoter (<=1kb),2,73646853,73722983,76131,2,Atf2,NM_001025093.2,0,down
NC_000068.8,79465536,79465804,269,*,CBD2vsMODEL2_cond2_59,3.88037,Promoter (<=1kb),2,79465769,79503310,37542,1,Itprid2,NM_080558.4,0,down
NC_000068.8,80976615,80976988,374,*,CBD2vsMODEL2_cond2_60,9.72446,Distal Intergenic,2,80814427,80814533,107,2,Gm23452,XR_004941255.1,-162082,down
NC_000068.8,84954116,84954396,281,*,CBD2vsMODEL2_cond2_61,6.94768,Distal Intergenic,2,84966704,84970267,3564,1,Aplnr,NM_011784.3,-12308,down
NC_000068.8,92581305,92581751,447,*,CBD2vsMODEL2_cond2_62,4.33331,"Intron (XR_866546.3/Gm13816, intron 1 of 1)",2,92572575,92594031,21457,1,Gm13816,XR_866546.3,8730,down
NC_000068.8,92778682,92779372,691,*,CBD2vsMODEL2_cond2_63,5.09258,"Intron (NM_030725.5/Syt13, intron 4 of 5)",2,92745446,92786403,40958,1,Syt13,NM_030725.5,33236,down
NC_000068.8,95443006,95443316,311,*,CBD2vsMODEL2_cond2_64,14.569,Distal Intergenic,2,95224587,95399948,175362,1,Gm13794,XR_374816.1,218419,down
NC_000068.8,101611840,101612260,421,*,CBD2vsMODEL2_cond2_65,5.67859,"Intron (XM_006500241.5/Prr5l, intron 1 of 8)",2,101544630,101628052,83423,2,Prr5l,NM_001083810.2,15792,down
NC_000068.8,102554935,102555326,392,*,CBD2vsMODEL2_cond2_66,13.3766,"Intron (XM_030248894.1/Slc1a2, intron 1 of 10)",2,102536783,102621129,84347,1,Slc1a2,NM_001077515.2,18152,down
NC_000068.8,102703572,102704062,491,*,CBD2vsMODEL2_cond2_67,6.018,"Intron (NM_001039150.1/Cd44, intron 1 of 13)",2,102728305,102728411,107,1,Gm23731,XR_004941252.1,-24243,down
NC_000068.8,102903918,102904302,385,*,CBD2vsMODEL2_cond2_68,4.25656,Promoter (<=1kb),2,102904020,102922994,18975,1,Apip,NM_001355473.1,0,down
NC_000068.8,103310712,103311149,438,*,CBD2vsMODEL2_cond2_69,6.86545,"Intron (NM_009804.2/Cat, intron 1 of 12)",2,103284249,103315498,31250,2,Cat,NM_009804.2,4349,down
NC_000068.8,103858102,103858635,534,*,CBD2vsMODEL2_cond2_70,5.71156,Promoter (<=1kb),2,103858144,103885472,27329,1,Fbxo3,NM_020593.2,0,down
NC_000068.8,118275277,118275649,373,*,CBD2vsMODEL2_cond2_71,7.19264,"Intron (XM_017318909.3/Eif2ak4, intron 18 of 37)",2,118306324,118310177,3854,2,Srp14,NM_009273.4,34528,down
NC_000068.8,122199193,122199699,507,*,CBD2vsMODEL2_cond2_72,6.46261,Promoter (<=1kb),2,122179373,122199399,20027,2,Shf,NM_001013829.2,0,down
NC_000068.8,122507383,122507984,602,*,CBD2vsMODEL2_cond2_73,6.38487,Distal Intergenic,2,122482723,122482801,79,1,Mir147,NR_030547.1,24660,down
NC_000068.8,124690616,124691173,558,*,CBD2vsMODEL2_cond2_74,15.1318,Distal Intergenic,2,124642072,124646372,4301,1,Gm52495,NA,48544,down
NC_000068.8,127635466,127635821,356,*,CBD2vsMODEL2_cond2_75,3.90826,Promoter (1-2kb),2,127633302,127634408,1107,2,Mtln,NM_001384135.1,-1058,down
NC_000068.8,128271400,128271660,261,*,CBD2vsMODEL2_cond2_76,5.13391,Promoter (<=1kb),2,128214026,128271271,57246,2,Morrbid,NR_028591.1,-129,down
NC_000068.8,128573671,128574051,381,*,CBD2vsMODEL2_cond2_77,14.4978,"Intron (NM_008587.2/Mertk, intron 2 of 18)",2,128546496,128645082,98587,1,Mertk,XM_006498860.4,27175,down
NC_000068.8,128659881,128660162,282,*,CBD2vsMODEL2_cond2_78,4.20943,Promoter (<=1kb),2,128659991,128694546,34556,1,Tmem87b,XR_004940742.1,0,down
NC_000068.8,132054053,132054537,485,*,CBD2vsMODEL2_cond2_79,11.3781,Promoter (2-3kb),2,132056873,132057249,377,2,Gm29720,XR_004691329.1,2712,down
NC_000068.8,149686637,149686896,260,*,CBD2vsMODEL2_cond2_80,8.27386,"Intron (NM_001085521.2/Syndig1, intron 1 of 3)",2,149672991,149846260,173270,1,Syndig1,NM_001409845.1,13646,down
NC_000068.8,151002431,151002770,340,*,CBD2vsMODEL2_cond2_81,4.0195,Distal Intergenic,2,150969384,150984416,15033,1,Gm30478,NR_168336.1,33047,down
NC_000068.8,151947347,151947781,435,*,CBD2vsMODEL2_cond2_82,4.07566,Promoter (<=1kb),2,151947444,151953296,5853,1,Srxn1,NM_029688.5,0,down
NC_000068.8,153583104,153583417,314,*,CBD2vsMODEL2_cond2_83,6.10572,Promoter (<=1kb),2,153583131,153600321,17191,1,Mapre1,XM_036158139.1,0,down
NC_000068.8,154412067,154412340,274,*,CBD2vsMODEL2_cond2_84,5.1382,Promoter (<=1kb),2,154401320,154411812,10493,2,E2f1,NM_007891.5,-255,down
NC_000068.8,164227949,164228676,728,*,CBD2vsMODEL2_cond2_85,8.26412,Promoter (2-3kb),2,164195990,164231086,35097,2,Slpi,NM_001412601.1,2410,down
NC_000068.8,165031423,165031744,322,*,CBD2vsMODEL2_cond2_86,6.83802,"Intron (XM_006498536.5/Cdh22, intron 1 of 11)",2,165050220,165058961,8742,1,Gm36803,XR_003954091.2,-18476,down
NC_000068.8,165697796,165698162,367,*,CBD2vsMODEL2_cond2_87,5.45639,Promoter (1-2kb),2,165626086,165700088,74003,2,Zmynd8,XM_036161681.1,1926,down
NC_000068.8,166079604,166079970,367,*,CBD2vsMODEL2_cond2_88,6.5663,Distal Intergenic,2,166115828,166136751,20924,1,Gm11468,NR_033467.1,-35858,down
NC_000068.8,166091469,166091829,361,*,CBD2vsMODEL2_cond2_89,13.5178,Distal Intergenic,2,166115828,166136751,20924,1,Gm11468,NR_033467.1,-23999,down
NC_000068.8,166509877,166510185,309,*,CBD2vsMODEL2_cond2_90,4.36901,"Intron (NM_177782.3/Prex1, intron 1 of 39)",2,166542873,166544819,1947,2,Gm50596,XR_001783554.3,34634,down
NC_000068.8,167530362,167530703,342,*,CBD2vsMODEL2_cond2_91,4.76902,Promoter (<=1kb),2,167530835,167532352,1518,1,Cebpb,NM_001287738.1,-132,down
NC_000068.8,167619306,167619748,443,*,CBD2vsMODEL2_cond2_92,5.84368,Promoter (<=1kb),2,167619411,167625419,6009,1,Gm14321,NR_166468.1,0,down
NC_000068.8,167900544,167900822,279,*,CBD2vsMODEL2_cond2_93,6.19167,Distal Intergenic,2,167822081,167892809,70729,2,Ripor3,XM_006500139.3,-7735,down
NC_000068.8,168708427,168708807,381,*,CBD2vsMODEL2_cond2_94,9.08646,Distal Intergenic,2,168723960,168724088,129,2,Gm25214,XR_004941215.1,15281,down
NC_000068.8,171091950,171092243,294,*,CBD2vsMODEL2_cond2_95,4.83596,Distal Intergenic,2,171057417,171059916,2500,2,Gm46779,XR_001783589.2,-32034,down
NC_000068.8,171232283,171232709,427,*,CBD2vsMODEL2_cond2_96,12.3939,Distal Intergenic,2,171198160,171205643,7484,1,Gm35434,XR_375335.2,34123,down
NC_000068.8,173419723,173420028,306,*,CBD2vsMODEL2_cond2_97,24.8895,Promoter (<=1kb),2,173410451,173420066,9616,2,Ankrd60,NM_027303.2,38,down
NC_000068.8,173500981,173502012,1032,*,CBD2vsMODEL2_cond2_98,8.20311,Promoter (<=1kb),2,173421113,173501332,80220,2,Ppp4r1l-ps,NR_027957.1,0,down
NC_000068.8,178608092,178608605,514,*,CBD2vsMODEL2_cond2_99,10.6642,Distal Intergenic,2,178633561,178642766,9206,1,Gm54096,XR_004940818.1,-24956,down
NC_000068.8,179202878,179203215,338,*,CBD2vsMODEL2_cond2_100,19.3714,"Intron (NM_001316723.2/Cdh4, intron 2 of 5)",2,179085776,179541014,455239,1,Cdh4,XM_036157900.1,117102,down
NC_000068.8,179666463,179666745,283,*,CBD2vsMODEL2_cond2_101,5.22843,Promoter (<=1kb),2,179666770,179677254,10485,1,Lsm14b,NM_001372364.2,-25,down
NC_000068.8,179866855,179867171,317,*,CBD2vsMODEL2_cond2_102,13.5111,Promoter (<=1kb),2,179818166,179867652,49487,2,Lama5,NM_001081171.2,481,down
NC_000069.7,10323425,10323694,270,*,CBD2vsMODEL2_cond2_103,15.9843,"Intron (NM_001357159.1/Fabp12, intron 1 of 4)",3,10310958,10327528,16571,2,Fabp12,XM_036163371.1,3834,down
NC_000069.7,21878597,21878874,278,*,CBD2vsMODEL2_cond2_104,4.2398,Distal Intergenic,3,21807772,21854935,47164,2,7530428D23Rik,NR_166473.1,-23662,down
NC_000069.7,27494741,27495082,342,*,CBD2vsMODEL2_cond2_105,4.15561,"Intron (NM_001356953.1/Fndc3b, intron 23 of 26)",3,27536648,27538392,1745,1,Gm32738,NR_168344.1,-41566,down
NC_000069.7,27653228,27653489,262,*,CBD2vsMODEL2_cond2_106,10.4811,"Intron (NM_001356953.1/Fndc3b, intron 4 of 26)",3,27639049,27639144,96,2,Mir3092,NR_037275.1,-14084,down
NC_000069.7,29629253,29629663,411,*,CBD2vsMODEL2_cond2_107,15.1891,"Intron (XM_006535559.5/Egfem1, intron 5 of 14)",3,29636034,29745207,109174,1,Egfem1,XM_017319790.2,-6371,down
NC_000069.7,32550653,32550970,318,*,CBD2vsMODEL2_cond2_108,16.5337,"Intron (XM_011249654.4/Kcnmb3, intron 1 of 3)",3,32526470,32546118,19649,2,Kcnmb3,NM_001195074.1,-4535,down
NC_000069.7,32762679,32762942,264,*,CBD2vsMODEL2_cond2_109,3.83683,Promoter (<=1kb),3,32762695,32781120,18426,1,Actl6a,NM_019673.2,0,down
NC_000069.7,38178978,38179369,392,*,CBD2vsMODEL2_cond2_110,14.5534,Distal Intergenic,3,38206055,38213297,7243,1,Gm36680,XR_389702.2,-26686,down
NC_000069.7,40903887,40904192,306,*,CBD2vsMODEL2_cond2_111,4.38963,Promoter (<=1kb),3,40904198,40994636,90439,1,Larp1b,XM_036163009.1,-6,down
NC_000069.7,50390857,50391127,271,*,CBD2vsMODEL2_cond2_112,21.0834,"Intron (NM_011990.2/Slc7a11, intron 2 of 11)",3,50319385,50398062,78678,2,Slc7a11,NM_011990.2,6935,down
NC_000069.7,52446199,52446472,274,*,CBD2vsMODEL2_cond2_113,16.0653,"Intron (NR_153344.1/Gm30173, intron 1 of 4)",3,52424385,52457640,33256,1,Gm30173,NR_153344.1,21814,down
NC_000069.7,55261681,55261949,269,*,CBD2vsMODEL2_cond2_114,19.473,"Intron (XM_006500982.3/Dclk1, intron 3 of 6)",3,55284875,55310640,25766,2,Gm9831,NR_165824.1,48691,down
NC_000069.7,64078918,64079177,260,*,CBD2vsMODEL2_cond2_115,4.41032,Promoter (<=1kb),3,64023151,64078348,55198,2,Vmn2r2,XM_017319413.2,-570,down
NC_000069.7,65349419,65349930,512,*,CBD2vsMODEL2_cond2_116,9.62514,Distal Intergenic,3,65356853,65387235,30383,1,Gm34576,XR_867344.4,-6923,down
NC_000069.7,68483742,68484009,268,*,CBD2vsMODEL2_cond2_117,4.11051,"Intron (NM_001113419.2/Iqschfp, intron 5 of 10)",3,68479701,68533815,54115,1,Schip1,NM_013928.5,4041,down
NC_000069.7,90373433,90373702,270,*,CBD2vsMODEL2_cond2_118,3.94019,Promoter (<=1kb),3,90366711,90373235,6525,2,Npr1,XM_006501114.1,-198,down
NC_000069.7,90448162,90448653,492,*,CBD2vsMODEL2_cond2_119,10.2752,Promoter (<=1kb),3,90448453,90450458,2006,1,S100a16,NM_001356609.1,0,down
NC_000069.7,91988333,91988845,513,*,CBD2vsMODEL2_cond2_120,9.59449,Promoter (1-2kb),3,91987578,91990447,2870,2,Lor,NM_008508.3,1602,down
NC_000069.7,92187944,92188317,374,*,CBD2vsMODEL2_cond2_121,5.51063,Distal Intergenic,3,92192611,92196571,3961,1,Sprr2a3,NM_001309382.1,-4294,down
NC_000069.7,95200980,95201265,286,*,CBD2vsMODEL2_cond2_122,6.17019,"Exon (XM_006502219.4/Mindy1, exon 9 of 12)",3,95190846,95203477,12632,1,Mindy1,XM_030252860.1,10134,down
NC_000069.7,96749750,96750144,395,*,CBD2vsMODEL2_cond2_123,4.2232,"Intron (XM_017319675.2/Pdzk1, intron 2 of 9)",3,96740547,96778238,37692,1,Pdzk1,XM_011240178.3,9203,down
NC_000069.7,96967276,96967609,334,*,CBD2vsMODEL2_cond2_124,14.9845,"Intron (NR_152120.1/4930573H18Rik, intron 1 of 3)",3,96981469,96983336,1868,1,Gm31120,XR_375878.1,-13860,down
NC_000069.7,102381882,102382227,346,*,CBD2vsMODEL2_cond2_125,5.42781,"Intron (NM_001112698.2/Ngf, intron 1 of 2)",3,102377235,102428329,51095,1,Ngf,NM_013609.3,4647,down
NC_000069.7,107730596,107731221,626,*,CBD2vsMODEL2_cond2_126,7.58452,"Intron (XR_004941631.1/LOC118568636, intron 2 of 2)",3,107720321,107736979,16659,2,LOC118568636,XR_004941631.1,5758,down
NC_000069.7,113566160,113566445,286,*,CBD2vsMODEL2_cond2_127,6.02311,Distal Intergenic,3,113398716,113423798,25083,2,Rnpc3,NM_026043.3,-142362,down
NC_000069.7,115681251,115681728,478,*,CBD2vsMODEL2_cond2_128,7.46524,Promoter (<=1kb),3,115675227,115681708,6482,2,A930005H10Rik,NR_027894.1,0,down
NC_000069.7,115709766,115710440,675,*,CBD2vsMODEL2_cond2_129,8.98433,"Intron (XR_003954378.2/Dph5, intron 5 of 8)",3,115699663,115702718,3056,2,Gm54180,XM_036163490.1,-7048,down
NC_000069.7,115801121,115801428,308,*,CBD2vsMODEL2_cond2_130,3.97791,Promoter (<=1kb),3,115801101,115822666,21566,1,Extl2,XM_030252739.1,20,down
NC_000069.7,116629527,116629792,266,*,CBD2vsMODEL2_cond2_131,8.21202,"Exon (XR_867574.1/Gm40128, exon 3 of 3)",3,116629006,116635162,6157,2,Gm40128,XR_867574.1,5370,down
NC_000069.7,122777936,122778315,380,*,CBD2vsMODEL2_cond2_132,4.9876,Promoter (<=1kb),3,122725142,122778115,52974,2,Usp53,NM_001411523.1,0,down
NC_000069.7,126625069,126625602,534,*,CBD2vsMODEL2_cond2_133,9.10153,"Intron (XM_017319422.2/Camk2d, intron 15 of 17)",3,126715256,126737035,21780,2,Ank2,NM_001034168.1,111433,down
NC_000069.7,130878645,130879068,424,*,CBD2vsMODEL2_cond2_134,4.87645,Distal Intergenic,3,130895226,130901624,6399,2,Gm36603,XR_376077.4,22556,down
NC_000069.7,137329098,137329499,402,*,CBD2vsMODEL2_cond2_135,5.03839,Promoter (<=1kb),3,137329433,137334093,4661,1,Ddit4l,NM_030143.4,0,down
NC_000069.7,145591392,145592034,643,*,CBD2vsMODEL2_cond2_136,4.2349,"Intron (NM_026993.3/Ddah1, intron 4 of 5)",3,145581953,145596434,14482,2,Gm35187,XR_001784024.2,4400,down
NC_000069.7,145806831,145807629,799,*,CBD2vsMODEL2_cond2_137,4.88273,"Intron (XM_006501083.5/Mcoln3, intron 1 of 12)",3,145746281,145813791,67511,2,Dnai3,NM_172864.3,6162,down
NC_000069.7,151663081,151663411,331,*,CBD2vsMODEL2_cond2_138,16.3661,Promoter (1-2kb),3,151664822,151665302,481,1,Gm2939,NA,-1411,down
NC_000069.7,152020380,152020786,407,*,CBD2vsMODEL2_cond2_139,5.38545,Promoter (<=1kb),3,151979471,152020280,40810,2,Miga1,XM_036163015.1,-100,down
NC_000070.7,3175773,3176199,427,*,CBD2vsMODEL2_cond2_140,8.7198,Distal Intergenic,4,3172083,3173003,921,1,Vmn1r2,NM_001167534.1,3690,down
NC_000070.7,3176619,3176881,263,*,CBD2vsMODEL2_cond2_141,4.42394,Distal Intergenic,4,3172083,3173003,921,1,Vmn1r2,NM_001167534.1,4536,down
NC_000070.7,14048644,14048972,329,*,CBD2vsMODEL2_cond2_142,13.5528,Distal Intergenic,4,14079809,14079940,132,2,Gm24068,XR_004942355.1,30968,down
NC_000070.7,17309369,17309791,423,*,CBD2vsMODEL2_cond2_143,6.92486,Distal Intergenic,4,17487627,17514003,26377,2,Gm42257,XR_881139.1,204212,down
NC_000070.7,22488763,22489042,280,*,CBD2vsMODEL2_cond2_144,4.55596,Promoter (<=1kb),4,22482095,22488366,6272,2,Pou3f2,NM_008899.2,-397,down
NC_000070.7,33338145,33338470,326,*,CBD2vsMODEL2_cond2_145,5.57025,"Intron (XM_030253517.1/Rngtt, intron 8 of 12)",4,33310311,33502614,192304,1,Rngtt,NM_011884.3,27834,down
