"","seqnames","start","end","width","strand","V4","V5","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"11","NC_000067.7",192537743,192538034,292,"*","CBD2vsMODEL2_cond1_11",5.36141,"Promoter (<=1kb)",1,192526796,192538060,11265,2,"Sertad4","NM_198247.2",26
"12","NC_000068.8",6876838,6877122,285,"*","CBD2vsMODEL2_cond1_12",10.1903,"Promoter (<=1kb)",2,6544505,6876846,332342,2,"Celf2","NM_001347094.1",0
"13","NC_000068.8",20904662,20905012,351,"*","CBD2vsMODEL2_cond1_13",20.3506,"Intron (XM_006497538.5/Arhgap21, intron 3 of 24)",2,20852751,20948206,95456,2,"Arhgap21","NM_001408321.1",43194
"14","NC_000068.8",26231594,26232116,523,"*","CBD2vsMODEL2_cond1_14",8.67499,"Promoter (<=1kb)",2,26230607,26238249,7643,1,"Gpsm1","XM_006498255.3",987
"15","NC_000068.8",26415689,26416040,352,"*","CBD2vsMODEL2_cond1_15",3.63748,"Distal Intergenic",2,26393939,26395359,1421,1,"Gm35978","NR_132655.1",21750
"16","NC_000068.8",35404125,35404647,523,"*","CBD2vsMODEL2_cond1_16",6.66534,"Distal Intergenic",2,35387934,35394848,6915,2,"Gm35260","XR_374283.3",-9277
"17","NC_000068.8",44957138,44957400,263,"*","CBD2vsMODEL2_cond1_17",9.13562,"Intron (NM_001289521.2/Zeb2, intron 1 of 8)",2,44873523,45000372,126850,2,"Zeb2","NM_001289521.2",42972
"18","NC_000068.8",58457259,58457562,304,"*","CBD2vsMODEL2_cond1_18",6.37723,"Promoter (<=1kb)",2,58457346,58682983,225638,1,"Upp2","NM_001289660.1",0
"19","NC_000068.8",66019539,66019803,265,"*","CBD2vsMODEL2_cond1_19",7.99329,"Intron (XM_006500263.5/Ttc21b, intron 26 of 28)",2,65913777,65955217,41441,2,"Galnt3","XR_374409.5",-64322
"20","NC_000068.8",112323291,112323572,282,"*","CBD2vsMODEL2_cond1_20",5.79368,"Promoter (<=1kb)",2,112323282,112461598,138317,1,"Aven","NM_028844.4",9
"21","NC_000068.8",121352687,121353080,394,"*","CBD2vsMODEL2_cond1_21",5.65,"Intron (NM_001290986.1/Wdr76, intron 4 of 12)",2,121338974,121375341,36368,1,"Wdr76","NM_001369185.1",13713
"22","NC_000068.8",122544500,122544785,286,"*","CBD2vsMODEL2_cond1_22",3.52569,"Promoter (<=1kb)",2,122544752,122563376,18625,1,"4930417H01Rik","XR_866683.4",0
"23","NC_000068.8",144070728,144071049,322,"*","CBD2vsMODEL2_cond1_23",4.37875,"Distal Intergenic",2,143901062,144050449,149388,2,"Banf2os","XR_004940954.1",-20279
"24","NC_000068.8",154278315,154278637,323,"*","CBD2vsMODEL2_cond1_24",5.64108,"Promoter (<=1kb)",2,154278404,154381276,102873,1,"Cbfa2t2","NM_001285446.1",0
"25","NC_000068.8",156455306,156455800,495,"*","CBD2vsMODEL2_cond1_25",6.01538,"Promoter (<=1kb)",2,156455431,156606283,150853,1,"Dlgap4","XM_006499340.5",0
"26","NC_000068.8",158090119,158090451,333,"*","CBD2vsMODEL2_cond1_26",3.68943,"Exon (XR_866911.2/Gm34571, exon 3 of 3)",2,158085424,158085485,62,2,"Mir7685","NR_106156.1",-4634
"27","NC_000068.8",166122777,166123130,354,"*","CBD2vsMODEL2_cond1_27",7.32948,"Promoter (1-2kb)",2,166119654,166124469,4816,2,"Gm30733","XM_017319393.2",1339
"28","NC_000068.8",166296387,166296647,261,"*","CBD2vsMODEL2_cond1_28",4.97976,"Intron (NR_015558.3/5031425F14Rik, intron 2 of 2)",2,166289371,166300690,11320,1,"5031425F14Rik","NR_015558.3",7016
"29","NC_000068.8",166904692,166904975,284,"*","CBD2vsMODEL2_cond1_29",10.6989,"Promoter (<=1kb)",2,166904854,166907782,2929,1,"Zfas1","NR_138563.1",0
"30","NC_000068.8",167867234,167867614,381,"*","CBD2vsMODEL2_cond1_30",6.49149,"Intron (XM_036162538.1/Ripor3, intron 1 of 21)",2,167825076,167862984,37909,2,"Ripor3","XR_866340.1",-4250
"31","NC_000068.8",179666927,179667265,339,"*","CBD2vsMODEL2_cond1_31",9.96335,"Promoter (<=1kb)",2,179667260,179677254,9995,1,"Lsm14b","NM_001411279.1",0
"32","NC_000068.8",181654557,181655011,455,"*","CBD2vsMODEL2_cond1_32",12.2557,"Distal Intergenic",2,181633019,181642880,9862,1,"Gm14496","XM_036162507.1",21538
"33","NC_000069.7",5925397,5925878,482,"*","CBD2vsMODEL2_cond1_33",24.6653,"Distal Intergenic",3,6172077,6180975,8899,1,"Gm46796","XR_001783789.2",-246199
"34","NC_000069.7",20008026,20008378,353,"*","CBD2vsMODEL2_cond1_34",4.75863,"Promoter (<=1kb)",3,19999376,20008118,8743,2,"Gm42190","XR_880695.2",0
"35","NC_000069.7",31148416,31149165,750,"*","CBD2vsMODEL2_cond1_35",11.5411,"Promoter (<=1kb)",3,31149259,31176741,27483,1,"Skil","NM_001039090.3",-94
"36","NC_000069.7",37951075,37951356,282,"*","CBD2vsMODEL2_cond1_36",5.90358,"Promoter (1-2kb)",3,37952962,38046877,93916,1,"Gm20755","NR_040559.1",-1606
"37","NC_000069.7",41517718,41517980,263,"*","CBD2vsMODEL2_cond1_37",9.81861,"Promoter (<=1kb)",3,41517818,41571299,53482,1,"Jade1","NM_172303.4",0
"38","NC_000069.7",65792177,65792454,278,"*","CBD2vsMODEL2_cond1_38",3.36836,"Intron (XR_004941566.1/Gm54198, intron 3 of 3)",3,65786852,65795960,9109,1,"Gm54198","XR_004941566.1",5325
"39","NC_000069.7",87524568,87524985,418,"*","CBD2vsMODEL2_cond1_39",5.99591,"Promoter (<=1kb)",3,87524855,87645341,120487,1,"Arhgef11","XM_006501264.2",0
"40","NC_000069.7",100592942,100593207,266,"*","CBD2vsMODEL2_cond1_40",10.7095,"Promoter (<=1kb)",3,100469519,100592789,123271,2,"Man1a2","NM_010763.2",-153
"41","NC_000069.7",121867871,121868146,276,"*","CBD2vsMODEL2_cond1_41",12.4966,"Promoter (<=1kb)",3,121867761,121973719,105959,1,"Abca4","XM_006500911.4",110
"42","NC_000069.7",123699852,123700145,294,"*","CBD2vsMODEL2_cond1_42",18.6544,"Distal Intergenic",3,123801166,123822613,21448,1,"Gm40144","XR_867623.2",-101021
"43","NC_000069.7",152101671,152101937,267,"*","CBD2vsMODEL2_cond1_43",12.6237,"Promoter (<=1kb)",3,152101649,152168463,66815,1,"Zzz3","XM_006500856.5",22
"44","NC_000069.7",153393273,153393600,328,"*","CBD2vsMODEL2_cond1_44",29.9321,"Intron (XM_030252510.1/St6galnac3, intron 1 of 4)",3,153414548,153414663,116,1,"Gm22206",NA,-20948
"45","NC_000070.7",42144228,42144509,282,"*","CBD2vsMODEL2_cond1_45",4.71606,"Intron (NR_169011.1/Gm21104, intron 2 of 5)",4,42153404,42158839,5436,1,"Gm13306","XR_004941786.1",-8895
"46","NC_000070.7",53440394,53440723,330,"*","CBD2vsMODEL2_cond1_46",5.78908,"Promoter (<=1kb)",4,53440413,53550164,109752,1,"Slc44a1","NM_001159633.1",0
"47","NC_000070.7",57846913,57847202,290,"*","CBD2vsMODEL2_cond1_47",5.77904,"Promoter (1-2kb)",4,57845248,57896984,51737,1,"Pakap","NM_009649.3",1665
"48","NC_000070.7",59188974,59189258,285,"*","CBD2vsMODEL2_cond1_48",5.60504,"Promoter (<=1kb)",4,59189452,59222833,33382,1,"Ugcg","XM_006537785.5",-194
"49","NC_000070.7",108196397,108196703,307,"*","CBD2vsMODEL2_cond1_49",4.60737,"3' UTR",4,108205399,108214532,9134,1,"Gm54250","XR_004942150.1",-8696
"50","NC_000070.7",117764225,117764656,432,"*","CBD2vsMODEL2_cond1_50",4.544,"Intron (NM_001419414.1/Ipo13, intron 2 of 19)",4,117751689,117772196,20508,2,"Ipo13","NM_001419414.1",7540
"51","NC_000070.7",123131460,123131943,484,"*","CBD2vsMODEL2_cond1_51",5.41849,"Intron (NM_013905.3/Heyl, intron 1 of 4)",4,123127349,123143663,16315,1,"Heyl","NM_013905.3",4111
"52","NC_000070.7",123133513,123133945,433,"*","CBD2vsMODEL2_cond1_52",5.89785,"Exon (NM_013905.3/Heyl, exon 2 of 5)",4,123127349,123143663,16315,1,"Heyl","NM_013905.3",6164
"53","NC_000070.7",133481310,133481637,328,"*","CBD2vsMODEL2_cond1_53",7.84538,"Promoter (<=1kb)",4,133406970,133481307,74338,2,"Arid1a","XM_006539327.5",-3
"54","NC_000070.7",137943868,137944342,475,"*","CBD2vsMODEL2_cond1_54",13.4862,"Promoter (<=1kb)",4,137943902,137971994,28093,1,"Hp1bp3","XM_030253220.2",0
"55","NC_000070.7",139358715,139359061,347,"*","CBD2vsMODEL2_cond1_55",6.83778,"Intron (XM_006538693.5/Aldh4a1, intron 1 of 13)",4,139350205,139377002,26798,1,"Aldh4a1","NM_175438.4",8510
"56","NC_000070.7",141641186,141641573,388,"*","CBD2vsMODEL2_cond1_56",4.39733,"Exon (XR_881552.2/Gm42338, exon 3 of 3)",4,141637605,141642907,5303,1,"Gm42338","XR_881552.2",3581
"57","NC_000071.7",20907206,20907579,374,"*","CBD2vsMODEL2_cond1_57",5.50273,"3' UTR",5,20886066,20886592,527,2,"Gm52763","XR_003955723.2",-20614
"58","NC_000071.7",33432067,33432374,308,"*","CBD2vsMODEL2_cond1_58",13.5962,"Promoter (<=1kb)",5,33405067,33432348,27282,2,"Ctbp1","NM_001198859.1",0
"59","NC_000071.7",64483784,64484095,312,"*","CBD2vsMODEL2_cond1_59",5.3081,"Intron (XM_011240758.3/Tbc1d1, intron 18 of 22)",5,64463357,64508822,45466,1,"Tbc1d1","XM_036165387.1",20427
"60","NC_000071.7",65854429,65854767,339,"*","CBD2vsMODEL2_cond1_60",3.85448,"Promoter (<=1kb)",5,65765120,65855244,90125,2,"Pds5a","XM_036165493.1",477
"61","NC_000071.7",65855375,65855640,266,"*","CBD2vsMODEL2_cond1_61",8.28051,"Promoter (<=1kb)",5,65763062,65855579,92518,2,"Pds5a","NM_001081321.3",0
"62","NC_000071.7",93145855,93146122,268,"*","CBD2vsMODEL2_cond1_62",4.61005,"Intron (XR_880434.2/Gm36764, intron 1 of 2)",5,93136491,93140910,4420,2,"Gm36764","XR_880433.1",-4945
"63","NC_000071.7",111823324,111823748,425,"*","CBD2vsMODEL2_cond1_63",5.61262,"Distal Intergenic",5,111811735,111814604,2870,1,"Gm36434","XR_389526.3",11589
"64","NC_000071.7",115465241,115465526,286,"*","CBD2vsMODEL2_cond1_64",4.74578,"Promoter (<=1kb)",5,115465236,115471139,5904,1,"Srsf9","NR_036616.1",5
"65","NC_000071.7",118310063,118310332,270,"*","CBD2vsMODEL2_cond1_65",5.18186,"Promoter (2-3kb)",5,118307829,118327543,19715,1,"Hrk","NM_007545.2",2234
"66","NC_000071.7",124370322,124370712,391,"*","CBD2vsMODEL2_cond1_66",4.53737,"Promoter (2-3kb)",5,124367788,124375200,7413,1,"Pitpnm2os1","NR_045369.1",2534
"67","NC_000071.7",125117210,125117686,477,"*","CBD2vsMODEL2_cond1_67",8.4362,"Intron (NM_001253904.1/Ncor2, intron 23 of 47)",5,125080512,125089611,9100,1,"Rflna","NM_028443.3",36698
"68","NC_000071.7",140634551,140634834,284,"*","CBD2vsMODEL2_cond1_68",7.71051,"Promoter (<=1kb)",5,140606332,140634786,28455,2,"Ttyh3","NM_001308040.1",0
"69","NC_000071.7",141227139,141227478,340,"*","CBD2vsMODEL2_cond1_69",11.1987,"Promoter (<=1kb)",5,141227252,142201377,974126,1,"Sdk1","XM_006504712.2",0
"70","NC_000071.7",143017122,143017421,300,"*","CBD2vsMODEL2_cond1_70",4.14618,"Intron (XM_036164723.1/Rnf216, intron 13 of 16)",5,143024746,143054077,29332,1,"Gm43380","XR_003955826.1",-7325
"71","NC_000071.7",146197798,146198177,380,"*","CBD2vsMODEL2_cond1_71",23.6455,"Intron (XM_006504836.5/Cdk8, intron 2 of 12)",5,146168060,146239684,71625,1,"Cdk8","NM_153599.4",29738
"72","NC_000071.7",149469955,149470244,290,"*","CBD2vsMODEL2_cond1_72",22.2183,"Intron (XM_017320945.2/Wdr95, intron 11 of 30)",5,149412521,149461495,48975,2,"Gm15997","NR_045423.1",-8460
"73","NC_000072.7",4923843,4924197,355,"*","CBD2vsMODEL2_cond1_73",5.19215,"Intron (XR_003956199.2/Ppp1r9a, intron 2 of 14)",6,4903486,5165661,262176,1,"Ppp1r9a","XM_036166125.1",20357
"74","NC_000072.7",21214732,21215279,548,"*","CBD2vsMODEL2_cond1_74",10.1883,"Promoter (<=1kb)",6,21215345,21729804,514460,1,"Kcnd2","NM_019697.4",-66
"75","NC_000072.7",35516236,35516555,320,"*","CBD2vsMODEL2_cond1_75",5.42359,"Promoter (<=1kb)",6,35485759,35516823,31065,2,"Mtpn","NM_008098.4",268
"76","NC_000072.7",36774138,36774426,289,"*","CBD2vsMODEL2_cond1_76",3.89695,"Promoter (<=1kb)",6,36774258,36785635,11378,1,"Gm53282","XR_004933666.1",0
"77","NC_000072.7",36777524,36777790,267,"*","CBD2vsMODEL2_cond1_77",8.79794,"Exon (XR_004933666.1/Gm53282, exon 2 of 2)",6,36774258,36785635,11378,1,"Gm53282","XR_004933666.1",3266
"78","NC_000072.7",50087397,50087673,277,"*","CBD2vsMODEL2_cond1_78",8.65181,"Promoter (<=1kb)",6,50087842,50176134,88293,1,"Pals2","NM_001361247.2",-169
"79","NC_000072.7",71417249,71417601,353,"*","CBD2vsMODEL2_cond1_79",5.10047,"Promoter (<=1kb)",6,71365618,71417621,52004,2,"Rmnd5a","NM_001355745.1",20
"80","NC_000072.7",88901597,88901970,374,"*","CBD2vsMODEL2_cond1_80",3.99452,"Distal Intergenic",6,88891771,88894082,2312,2,"Gm36268","XR_869251.1",-7515
"81","NC_000072.7",100264109,100264604,496,"*","CBD2vsMODEL2_cond1_81",10.1972,"Promoter (<=1kb)",6,100205526,100264319,58794,2,"Rybp","NM_019743.3",0
"82","NC_000072.7",119365089,119365667,579,"*","CBD2vsMODEL2_cond1_82",7.96603,"Promoter (<=1kb)",6,119330625,119365641,35017,2,"Adipor2","XM_030255574.1",0
"83","NC_000072.7",121306806,121307075,270,"*","CBD2vsMODEL2_cond1_83",4.64696,"Promoter (1-2kb)",6,121304906,121314680,9775,1,"Slc6a13","XM_011241211.3",1900
"84","NC_000072.7",124894301,124894831,531,"*","CBD2vsMODEL2_cond1_84",8.06188,"Promoter (<=1kb)",6,124890638,124894909,4272,2,"Ptms","NM_026988.2",78
"85","NC_000072.7",136871989,136872328,340,"*","CBD2vsMODEL2_cond1_85",5.1352,"Distal Intergenic",6,136849433,136852821,3389,2,"Mgp","NM_008597.4",-19168
"86","NC_000073.7",16657704,16657964,261,"*","CBD2vsMODEL2_cond1_86",5.55444,"Promoter (<=1kb)",7,16649304,16657957,8654,2,"Calm3","NM_007590.3",0
"87","NC_000073.7",24516791,24517059,269,"*","CBD2vsMODEL2_cond1_87",4.11824,"Promoter (1-2kb)",7,24518220,24539700,21481,1,"Gm5893","NR_045096.1",-1161
"88","NC_000073.7",27145785,27146152,368,"*","CBD2vsMODEL2_cond1_88",8.36997,"Promoter (<=1kb)",7,27055808,27146014,90207,2,"Sptbn4","NM_032610.2",0
"89","NC_000073.7",28616973,28617464,492,"*","CBD2vsMODEL2_cond1_89",3.95652,"Intron (XM_036153311.1/Actn4, intron 3 of 20)",7,28626845,28631549,4705,1,"Gm38978","XR_881921.3",-9381
"90","NC_000073.7",67601619,67602168,550,"*","CBD2vsMODEL2_cond1_90",4.51663,"Promoter (<=1kb)",7,67601639,67883416,281778,1,"Igf1r","NM_010513.3",0
"91","NC_000073.7",80643398,80643693,296,"*","CBD2vsMODEL2_cond1_91",8.80763,"Promoter (<=1kb)",7,80643432,80694910,51479,1,"Zfp592","NM_178707.4",0
"92","NC_000073.7",84007690,84007963,274,"*","CBD2vsMODEL2_cond1_92",5.17539,"Intron (XM_036152602.1/Arnt2, intron 2 of 18)",7,83895486,84011152,115667,2,"Arnt2","XM_036152602.1",3189
"93","NC_000073.7",100757643,100757983,341,"*","CBD2vsMODEL2_cond1_93",16.5468,"Promoter (<=1kb)",7,100757836,100933612,175777,1,"Fchsd2","XM_006507518.4",0
"94","NC_000073.7",100977979,100978283,305,"*","CBD2vsMODEL2_cond1_94",4.59539,"Promoter (2-3kb)",7,100974396,100975082,687,2,"Gm20476","XR_003946846.1",-2897
"95","NC_000073.7",112806740,112807014,275,"*","CBD2vsMODEL2_cond1_95",4.248,"Promoter (<=1kb)",7,112806754,112913333,106580,1,"Bmal1","XM_036152604.1",0
"96","NC_000073.7",126496137,126496416,280,"*","CBD2vsMODEL2_cond1_96",4.44572,"Promoter (1-2kb)",7,126485391,126497450,12060,2,"Tmem219","NM_026827.1",1034
"97","NC_000073.7",141036400,141036752,353,"*","CBD2vsMODEL2_cond1_97",9.22674,"Promoter (1-2kb)",7,141035101,141040656,5556,1,"Pnpla2","NR_028142.1",1299
"98","NC_000073.7",142595990,142596254,265,"*","CBD2vsMODEL2_cond1_98",4.45262,"Intron (NR_110354.1/R74862, intron 2 of 4)",7,142606487,142621667,15181,1,"Cd81","NM_133655.2",-10233
"99","NC_000073.7",144894664,144895189,526,"*","CBD2vsMODEL2_cond1_99",37.1664,"Distal Intergenic",7,144868572,144877796,9225,1,"Mrgprd","NM_203490.4",26092
"100","NC_000074.7",13580039,13580416,378,"*","CBD2vsMODEL2_cond1_100",5.66009,"Intron (XR_004934923.1/Gm53399, intron 1 of 1)",8,13557463,13617404,59942,1,"Gm53399","XR_004934923.1",22576
"101","NC_000074.7",36716248,36716572,325,"*","CBD2vsMODEL2_cond1_101",4.08444,"Promoter (<=1kb)",8,36683216,36716513,33298,2,"Lonrf1","NM_001081150.2",0
"102","NC_000074.7",58750696,58751000,305,"*","CBD2vsMODEL2_cond1_102",18.6948,"Intron (XM_017312847.3/Galntl6, intron 5 of 12)",8,59150825,59154077,3253,2,"Gm15881","NM_001177534.3",403077
"103","NC_000074.7",69601855,69602278,424,"*","CBD2vsMODEL2_cond1_103",9.22487,"Intron (NM_001370971.1/Lzts1, intron 1 of 3)",8,69610164,69612376,2213,1,"Gm39187","XR_870486.2",-7886
"104","NC_000074.7",84699632,84699907,276,"*","CBD2vsMODEL2_cond1_104",8.69337,"Promoter (<=1kb)",8,84699607,84723073,23467,1,"Prkaca","NM_008854.5",25
"105","NC_000074.7",87472418,87472704,287,"*","CBD2vsMODEL2_cond1_105",15.1577,"Promoter (<=1kb)",8,87442450,87472440,29991,2,"Siah1a","XM_006530784.5",0
"106","NC_000074.7",118505521,118505993,473,"*","CBD2vsMODEL2_cond1_106",6.49294,"Promoter (2-3kb)",8,118488357,118503367,15011,2,"Gm39261","XR_879241.3",-2154
"107","NC_000074.7",120991697,120991981,285,"*","CBD2vsMODEL2_cond1_107",4.22021,"Intron (XM_006531145.5/Gse1, intron 1 of 16)",8,120955240,121308116,352877,1,"Gse1","XM_006531147.4",36457
"108","NC_000074.7",120992279,120992538,260,"*","CBD2vsMODEL2_cond1_108",5.33145,"Intron (XM_006531145.5/Gse1, intron 1 of 16)",8,120955240,121308116,352877,1,"Gse1","XM_006531147.4",37039
"109","NC_000074.7",126296294,126296654,361,"*","CBD2vsMODEL2_cond1_109",24.1019,"Promoter (<=1kb)",8,126144807,126296602,151796,2,"Sipa1l2","NM_001357372.1",0
"110","NC_000074.7",127253931,127254258,328,"*","CBD2vsMODEL2_cond1_110",4.08232,"Distal Intergenic",8,127221632,127227392,5761,2,"Gm51605","XR_003947621.2",-26539
"111","NC_000075.7",26431179,26431670,492,"*","CBD2vsMODEL2_cond1_111",6.70666,"Intron (XR_379203.2/Gm30313, intron 2 of 2)",9,26430781,26460974,30194,2,"Gm30313","XR_379202.3",29304
"112","NC_000075.7",32583607,32583914,308,"*","CBD2vsMODEL2_cond1_112",6.92723,"Intron (XM_036154929.1/Ets1, intron 3 of 8)",9,32607333,32669116,61784,1,"Ets1","NM_001038642.2",-23419
"113","NC_000075.7",57533267,57533585,319,"*","CBD2vsMODEL2_cond1_113",8.6144,"Distal Intergenic",9,57533929,57538291,4363,2,"Csk","XM_030244039.1",4706
"114","NC_000075.7",71742636,71743065,430,"*","CBD2vsMODEL2_cond1_114",4.19088,"Distal Intergenic",9,71533789,71716582,182794,2,"Cgnl1","XM_006511395.1",-26054
"115","NC_000075.7",72182216,72182562,347,"*","CBD2vsMODEL2_cond1_115",10.8415,"Promoter (<=1kb)",9,72182226,72271053,88828,1,"Zfp280d","XM_017313342.2",0
"116","NC_000075.7",72439193,72439785,593,"*","CBD2vsMODEL2_cond1_116",10.0748,"Promoter (<=1kb)",9,72439346,72529168,89823,1,"Rfx7","XM_011242754.4",0
"117","NC_000075.7",96320002,96320484,483,"*","CBD2vsMODEL2_cond1_117",4.73652,"Distal Intergenic",9,96346057,96346974,918,1,"Gm51656","XR_003948077.2",-25573
"118","NC_000075.7",99021941,99022213,273,"*","CBD2vsMODEL2_cond1_118",5.07278,"Promoter (<=1kb)",9,98920456,99021969,101514,2,"Pik3cb","XM_011242829.4",0
"119","NC_000075.7",102656531,102656914,384,"*","CBD2vsMODEL2_cond1_119",5.49094,"Promoter (<=1kb)",9,102652303,102655774,3472,2,"Gm46151","XR_001779358.2",-757
"120","NC_000075.7",107421795,107422087,293,"*","CBD2vsMODEL2_cond1_120",3.82439,"Promoter (1-2kb)",9,107424067,107428520,4454,1,"Zmynd10","XM_006511630.4",-1980
"121","NC_000075.7",123290863,123291263,401,"*","CBD2vsMODEL2_cond1_121",39.4077,"Promoter (2-3kb)",9,123293273,123299079,5807,1,"Gm40586","XR_871396.1",-2010
"122","NC_000075.7",124254238,124258256,4019,"*","CBD2vsMODEL2_cond1_122",57.6593,"Distal Intergenic",9,124195125,124198447,3323,2,"4930526I15Rik","NR_102721.2",-55791
"123","NC_000075.7",124258823,124259466,644,"*","CBD2vsMODEL2_cond1_123",48.2259,"Distal Intergenic",9,124195125,124198447,3323,2,"4930526I15Rik","NR_102721.2",-60376
"124","NC_000076.7",3063433,3063693,261,"*","CBD2vsMODEL2_cond1_124",4.77512,"Distal Intergenic",10,3069841,3079546,9706,1,"Ulbp3","NM_001033977.2",-6148
"125","NC_000076.7",60628586,60628923,338,"*","CBD2vsMODEL2_cond1_125",3.44212,"Intron (NM_001359273.1/Unc5b, intron 1 of 15)",10,60598373,60667360,68988,2,"Unc5b","NM_001359273.1",38437
"126","NC_000076.7",75158776,75159070,295,"*","CBD2vsMODEL2_cond1_126",5.41559,"Promoter (1-2kb)",10,75160692,75170626,9935,1,"Adora2a","NM_001331096.1",-1622
"127","NC_000076.7",80411209,80411562,354,"*","CBD2vsMODEL2_cond1_127",4.789,"Promoter (1-2kb)",10,80402955,80413130,10176,2,"Klf16","NM_078477.2",1568
"128","NC_000076.7",80492034,80492362,329,"*","CBD2vsMODEL2_cond1_128",6.53985,"Promoter (<=1kb)",10,80478457,80492328,13872,2,"Btbd2","NM_001379084.1",0
"129","NC_000076.7",80973812,80974134,323,"*","CBD2vsMODEL2_cond1_129",7.26095,"Promoter (<=1kb)",10,80973569,80988056,14488,1,"Zbtb7a","NM_001404867.1",243
"130","NC_000076.7",86177551,86177885,335,"*","CBD2vsMODEL2_cond1_130",5.17196,"Intron (NM_011595.2/Timp3, intron 2 of 4)",10,86136845,86165180,28336,1,"LOC118567333","XR_004936376.1",40706
"131","NC_000076.7",127124624,127124916,293,"*","CBD2vsMODEL2_cond1_131",10.836,"Promoter (<=1kb)",10,127117825,127124750,6926,2,"Mbd6","NM_001379570.1",0
"132","NC_000076.7",127871090,127871352,263,"*","CBD2vsMODEL2_cond1_132",4.36396,"Promoter (<=1kb)",10,127871215,127884506,13292,1,"Naca","NM_001113199.1",0
"133","NC_000076.7",128173917,128174253,337,"*","CBD2vsMODEL2_cond1_133",7.10317,"Promoter (<=1kb)",10,128174251,128198348,24098,1,"Cs","XM_030244861.1",0
"134","NC_000077.7",35588529,35588875,347,"*","CBD2vsMODEL2_cond1_134",7.7485,"Intron (NM_011412.3/Slit3, intron 32 of 35)",11,35562621,35567444,4824,2,"Gm46278","XR_003949659.1",-21085
"135","NC_000077.7",51320276,51320813,538,"*","CBD2vsMODEL2_cond1_135",5.58121,"Intron (XM_011248983.4/Col23a1, intron 2 of 13)",11,51180747,51474752,294006,1,"Col23a1","NM_153393.2",139529
"136","NC_000077.7",55288063,55288542,480,"*","CBD2vsMODEL2_cond1_136",6.52832,"Intron (NM_001290817.1/Sparc, intron 8 of 9)",11,55271553,55275128,3576,2,"Gm31842","XR_004937273.1",-12935
"137","NC_000077.7",59599102,59599389,288,"*","CBD2vsMODEL2_cond1_137",5.40622,"Intron (XM_006533428.3/Mprip, intron 3 of 22)",11,59586958,59671681,84724,1,"Mprip","XM_011249055.2",12144
"138","NC_000077.7",59700314,59700577,264,"*","CBD2vsMODEL2_cond1_138",4.62403,"Promoter (<=1kb)",11,59682234,59700427,18194,2,"Flcn","NM_001271357.1",0
"139","NC_000077.7",60867683,60868311,629,"*","CBD2vsMODEL2_cond1_139",13.6608,"Promoter (1-2kb)",11,60869835,60883990,14156,1,"Gm35681","XR_879909.2",-1524
"140","NC_000077.7",78056073,78056352,280,"*","CBD2vsMODEL2_cond1_140",5.14854,"Promoter (<=1kb)",11,78049249,78056376,7128,2,"Traf4","NM_009423.4",24
"141","NC_000077.7",84020230,84020501,272,"*","CBD2vsMODEL2_cond1_141",4.02631,"Promoter (<=1kb)",11,84020461,84292477,272017,1,"Acaca","XM_011248667.2",0
